NAME_1,Area
Rajasthan,342239
Madhya Pradesh,308252
Maharashtra,307713
Uttar Pradesh,240928
Gujarat,196024
Karnataka,191791
Andhra Pradesh,160205
Odisha,155707
Chhattisgarh,135191
Tamil Nadu,130058
Telangana,112077
Bihar,94163
West Bengal,88752
Arunachal Pradesh,83743
Jharkhand,79714
Assam,78438
Ladakh,59146
Himachal Pradesh,55673
Uttarakhand,53483
Punjab,50362
Haryana,44212
Jammu and Kashmir,101387
Kerala,38863
Meghalaya,22429
Manipur,22327
Mizoram,21081
Nagaland,16579
Tripura,10486
Andaman and Nicobar Islands,8249
Sikkim,7096
Goa,3702
Delhi,1483
Dadra and Nagar Haveli,603
Puducherry,479
Chandigarh,114
Lakshadweep,32
